,exp_id,word,word_understand,reading_times,number_of_fixations,fixation_duration,fixation_duration_div_syllable,fixation_duration_div_length,fixation_duration_diff,number_of_fixations_diff,reading_times_diff
0,585,A,1,0,0,0,0.0,0.0,0,0,0
1,585,judge,1,1,3,927,927.0,185.4,927,3,1
2,585,in,1,1,1,245,245.0,122.5,-682,-2,0
3,585,the,1,0,0,0,0.0,0.0,-245,-1,-1
4,585,US,1,1,1,321,321.0,160.5,321,1,1
5,585,State,1,1,1,203,203.0,40.6,-118,0,0
6,585,of,1,1,1,208,208.0,104.0,5,0,0
7,585,Arizona,1,1,2,575,287.5,82.14285714285714,367,1,0
8,585,has,1,0,0,0,0.0,0.0,-575,-2,-1
9,585,ruled,1,1,1,332,332.0,66.4,332,1,1
10,585,that,1,1,1,375,375.0,93.75,43,0,0
11,585,a,1,0,0,0,0.0,0.0,-375,-1,-1
12,585,1901,1,0,0,0,0.0,0.0,0,0,0
13,585,ban,1,1,1,440,440.0,146.66666666666666,440,1,1
14,585,on,1,2,2,1252,1252.0,626.0,812,1,1
15,585,nearly,1,1,1,207,103.5,34.5,-1045,-1,-1
16,585,all,1,0,0,0,0.0,0.0,-207,-1,-1
17,585,abortions,0,1,3,1336,668.0,148.44444444444446,1336,3,1
18,585,can,1,0,0,0,0.0,0.0,-1336,-3,-1
19,585,now,1,1,2,591,591.0,197.0,591,2,1
20,585,be,1,2,4,1215,1215.0,607.5,624,2,1
21,585,reintroduced,1,2,2,1160,386.6666666666667,96.66666666666669,-55,-2,0
22,585,Only,1,1,4,1508,754.0,377.0,348,2,-1
23,585,terminations,1,0,0,0,0.0,0.0,-1508,-4,-1
24,585,to,1,0,0,0,0.0,0.0,0,0,0
25,585,save,1,0,0,0,0.0,0.0,0,0,0
26,585,the,1,1,1,578,578.0,192.66666666666663,578,1,1
27,585,mother's,1,1,2,664,332.0,83.0,86,1,0
28,585,life,1,1,1,283,283.0,70.75,-381,-1,0
29,585,will,1,0,0,0,0.0,0.0,-283,-1,-1
30,585,be,1,0,0,0,0.0,0.0,0,0,0
31,585,permitted,1,1,2,1064,354.6666666666667,118.22222222222224,1064,2,1
32,585,The,1,0,0,0,0.0,0.0,-1064,-2,-1
33,585,Republican,1,1,2,977,244.25,97.7,977,2,1
34,585,attorney,0,2,3,1322,440.6666666666667,165.25,345,1,1
35,585,general,1,2,3,877,292.3333333333333,125.28571428571428,-445,0,0
36,585,of,1,3,3,1338,1338.0,669.0,461,0,1
37,585,Arizona,1,1,1,342,171.0,48.85714285714285,-996,-2,-2
38,585,said,1,1,1,206,206.0,51.5,-136,0,0
39,585,he,1,0,0,0,0.0,0.0,-206,-1,-1
40,585,applauded,1,1,3,831,277.0,92.33333333333331,831,3,1
41,585,the,1,1,1,304,304.0,101.33333333333331,-527,-2,0
42,585,court's,1,1,1,447,447.0,63.85714285714285,143,0,0
43,585,decision,1,1,4,1283,427.6666666666667,160.375,836,3,0
44,585,It,1,0,0,0,0.0,0.0,-1283,-4,-1
45,585,was,1,0,0,0,0.0,0.0,0,0,0
46,585,made,1,2,2,416,416.0,104.0,416,2,2
47,585,possible,1,2,3,753,251.0,94.125,337,1,0
48,585,by,1,1,1,237,237.0,118.5,-516,-2,-1
49,585,the,1,3,3,1158,1158.0,386.0,921,2,2
50,585,Supreme,1,1,2,798,798.0,114.0,-360,-1,-2
51,585,Court,1,0,0,0,0.0,0.0,-798,-2,-1
52,585,in,1,0,0,0,0.0,0.0,0,0,0
53,585,Washington,1,1,3,1140,380.0,114.0,1140,3,1
54,585,overturning,0,1,3,1050,350.0,95.45454545454544,-90,0,0
