Unnamed: 0,exp_id,article_id,time,page_id,user,sentence_id,word,word_understand,sentence_understand,mind_wandering,reading_times,number_of_fixations,fixation_duration,fixation_duration_div_syllable,fixation_duration_div_length,fixation_duration_diff,number_of_fixations_diff,reading_times_diff,number_of_fixations_avg_left_two,number_of_fixations_max_left_two,number_of_fixations_avg_right_two,number_of_fixations_max_right_two,fixation_duration_avg_left_two,fixation_duration_max_left_two,fixation_duration_avg_right_two,fixation_duration_max_right_two,reading_times_avg_left_two,reading_times_max_left_two,reading_times_avg_right_two,reading_times_max_right_two
273,585,12,0,1227,ys,0,And,1,1,0,0,0,0,0.0,0.0,0,0,0,1.0,2.0,0.0,0.0,505.5,1011.0,0.0,0.0,0.5,1.0,0.0,0.0
274,585,12,0,1227,ys,0,both,1,1,0,1,2,1011,1011.0,252.75,1011,2,1,1.0,2.0,0.0,0.0,505.5,1011.0,0.0,0.0,0.5,1.0,0.0,0.0
275,585,12,0,1227,ys,0,he,1,1,0,0,0,0,0.0,0.0,-1011,-2,-1,1.0,2.0,1.0,2.0,235.5,471.0,505.5,1011.0,0.5,1.0,0.5,1.0
276,585,12,0,1227,ys,0,and,1,1,0,1,2,471,471.0,157.0,471,2,1,1.0,2.0,1.0,2.0,235.5,471.0,505.5,1011.0,0.5,1.0,0.5,1.0
277,585,12,0,1227,ys,0,Nadal,1,1,0,0,0,0,0.0,0.0,-471,-2,-1,1.0,2.0,1.0,2.0,225.5,451.0,235.5,471.0,0.5,1.0,0.5,1.0
278,585,12,0,1227,ys,0,were,1,1,0,1,2,451,451.0,112.75,451,2,1,1.0,2.0,1.0,2.0,225.5,451.0,235.5,471.0,0.5,1.0,0.5,1.0
279,585,12,0,1227,ys,0,in,1,1,0,0,0,0,0.0,0.0,-451,-2,-1,0.0,0.0,1.0,2.0,0.0,0.0,225.5,451.0,0.0,0.0,0.5,1.0
280,585,12,0,1227,ys,0,tears,1,1,0,0,0,0,0.0,0.0,0,0,0,1.0,2.0,1.0,2.0,217.0,434.0,225.5,451.0,1.0,2.0,0.5,1.0
281,585,12,0,1227,ys,0,as,1,1,0,2,2,434,434.0,217.0,434,2,2,2.0,2.0,0.0,0.0,426.0,434.0,0.0,0.0,2.0,2.0,0.0,0.0
282,585,12,0,1227,ys,0,they,1,1,0,2,2,418,418.0,104.5,-16,0,0,2.0,2.0,1.0,2.0,653.5,889.0,217.0,434.0,1.5,2.0,1.0,2.0
283,585,12,0,1227,ys,0,watched,1,1,0,1,2,889,889.0,127.0,471,0,-1,1.0,2.0,2.0,2.0,444.5,889.0,426.0,434.0,0.5,1.0,2.0,2.0
284,585,12,0,1227,ys,0,a,1,1,0,0,0,0,0.0,0.0,-889,-2,-1,0.0,0.0,2.0,2.0,0.0,0.0,653.5,889.0,0.0,0.0,1.5,2.0
285,585,12,0,1227,ys,0,tribute,1,1,0,0,0,0,0.0,0.0,0,0,0,1.0,2.0,1.0,2.0,305.0,610.0,444.5,889.0,0.5,1.0,0.5,1.0
286,585,12,0,1227,ys,0,video,1,1,0,1,2,610,610.0,122.0,610,2,1,1.5,2.0,0.0,0.0,474.5,610.0,0.0,0.0,1.0,1.0,0.0,0.0
287,585,12,0,1227,ys,0,on,1,1,0,1,1,339,339.0,169.5,-271,-1,0,0.5,1.0,1.0,2.0,169.5,339.0,305.0,610.0,0.5,1.0,0.5,1.0
288,585,12,0,1227,ys,0,the,1,1,0,0,0,0,0.0,0.0,-339,-1,-1,0.0,0.0,1.5,2.0,0.0,0.0,474.5,610.0,0.0,0.0,1.0,1.0
289,585,12,0,1227,ys,0,big,1,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.5,1.0,0.0,0.0,169.5,339.0,0.0,0.0,0.5,1.0
290,585,12,0,1227,ys,0,screen,1,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,585,12,0,1227,ys,1,More,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,585,12,0,1227,ys,1,tears,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,585,12,0,1227,ys,1,followed,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,585,12,0,1227,ys,1,as,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,585,12,0,1227,ys,1,Jim,1,1,1,0,0,0,0.0,0.0,0,0,0,0.5,1.0,0.0,0.0,110.0,220.0,0.0,0.0,0.5,1.0,0.0,0.0
296,585,12,0,1227,ys,1,Courier,1,1,1,1,1,220,110.0,31.428571428571427,220,1,1,1.0,1.0,0.0,0.0,302.0,384.0,0.0,0.0,1.0,1.0,0.0,0.0
297,585,12,0,1227,ys,1,asked,1,1,1,1,1,384,384.0,76.8,164,0,0,1.0,1.0,0.5,1.0,348.0,384.0,110.0,220.0,1.0,1.0,0.5,1.0
298,585,12,0,1227,ys,1,Federer,1,1,1,1,1,312,104.0,44.57142857142857,-72,0,0,0.5,1.0,1.0,1.0,156.0,312.0,302.0,384.0,0.5,1.0,1.0,1.0
299,585,12,0,1227,ys,1,about,1,1,1,0,0,0,0.0,0.0,-312,-1,-1,0.0,0.0,1.0,1.0,0.0,0.0,348.0,384.0,0.0,0.0,1.0,1.0
300,585,12,0,1227,ys,1,the,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.5,1.0,0.0,0.0,156.0,312.0,0.0,0.0,0.5,1.0
301,585,12,0,1227,ys,1,decades,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,585,12,0,1227,ys,1,of,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,585,12,0,1227,ys,1,support,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,585,12,0,1227,ys,1,from,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,585,12,0,1227,ys,1,his,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,585,12,0,1227,ys,1,family,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,585,12,0,1227,ys,2,His,1,1,1,0,0,0,0.0,0.0,0,0,0,0.5,1.0,0.0,0.0,222.5,445.0,0.0,0.0,0.5,1.0,0.0,0.0
308,585,12,0,1227,ys,2,parents,1,1,1,1,1,445,222.5,63.57142857142857,445,1,1,0.5,1.0,0.0,0.0,222.5,445.0,0.0,0.0,0.5,1.0,0.0,0.0
309,585,12,0,1227,ys,2,wife,1,1,1,0,0,0,0.0,0.0,-445,-1,-1,0.0,0.0,0.5,1.0,0.0,0.0,222.5,445.0,0.0,0.0,0.5,1.0
310,585,12,0,1227,ys,2,and,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.5,1.0,0.0,0.0,222.5,445.0,0.0,0.0,0.5,1.0
311,585,12,0,1227,ys,2,both,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,585,12,0,1227,ys,2,sets,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,585,12,0,1227,ys,2,of,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,585,12,0,1227,ys,2,twins,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,585,12,0,1227,ys,2,were,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,585,12,0,1227,ys,2,present,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,585,12,0,1227,ys,2,in,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,585,12,0,1227,ys,2,the,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,585,12,0,1227,ys,2,city,1,1,1,0,0,0,0.0,0.0,0,0,0,0.5,1.0,0.0,0.0,102.5,205.0,0.0,0.0,0.5,1.0,0.0,0.0
320,585,12,0,1227,ys,2,which,1,1,1,1,1,205,205.0,41.0,205,1,1,0.5,1.0,0.0,0.0,102.5,205.0,0.0,0.0,0.5,1.0,0.0,0.0
321,585,12,0,1227,ys,2,has,1,1,1,0,0,0,0.0,0.0,-205,-1,-1,0.0,0.0,0.5,1.0,0.0,0.0,102.5,205.0,0.0,0.0,0.5,1.0
322,585,12,0,1227,ys,2,witnessed,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.5,1.0,0.0,0.0,102.5,205.0,0.0,0.0,0.5,1.0
323,585,12,0,1227,ys,2,so,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,585,12,0,1227,ys,2,much,1,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,585,12,0,1227,ys,2,of,1,1,1,0,0,0,0.0,0.0,0,0,0,0.5,1.0,0.0,0.0,134.5,269.0,0.0,0.0,0.5,1.0,0.0,0.0
326,585,12,0,1227,ys,2,his,1,1,1,1,1,269,269.0,89.66666666666667,269,1,1,1.0,1.0,0.0,0.0,727.0,1185.0,0.0,0.0,1.0,1.0,0.0,0.0
327,585,12,0,1227,ys,2,success,1,1,1,1,1,1185,592.5,169.28571428571428,916,0,0,0.5,1.0,0.5,1.0,592.5,1185.0,134.5,269.0,0.5,1.0,0.5,1.0
328,585,12,0,1227,ys,3,Live,1,1,1,0,0,0,0.0,0.0,-1185,-1,-1,0.0,0.0,1.0,1.0,0.0,0.0,727.0,1185.0,0.0,0.0,1.0,1.0
329,585,12,0,1227,ys,3,from,1,1,1,0,0,0,0.0,0.0,0,0,0,0.5,1.0,0.5,1.0,156.5,313.0,592.5,1185.0,0.5,1.0,0.5,1.0
330,585,12,0,1227,ys,3,London,1,1,1,1,1,313,156.5,52.16666666666666,313,1,1,0.5,1.0,0.0,0.0,156.5,313.0,0.0,0.0,0.5,1.0,0.0,0.0
