exp_id,reading_times,number_of_fixations,fixation_duration,fixation_duration_div_syllable,fixation_duration_div_length,fixation_duration_diff,number_of_fixations_diff,reading_times_diff,y_pred,y_label
1073,0,0,0,0.0,0.0,-907,-2,-1,1,1
1149,1,1,209,209.0,52.25,2,0,0,1,1
590,1,1,417,417.0,208.5,-118,0,0,1,1
598,1,1,208,208.0,52.0,-21,0,0,1,1
904,2,2,610,610.0,152.5,323,1,1,1,1
1151,1,2,1017,1017.0,254.25,0,0,0,1,1
598,1,1,465,465.0,232.5,-257,-1,0,1,1
904,2,2,479,479.0,479.0,479,2,2,1,1
1090,1,1,418,418.0,104.5,-465,-1,-1,1,1
1072,2,3,845,845.0,120.71428571428572,394,2,1,1,1
1014,1,1,634,317.0,126.8,634,1,1,1,1
941,1,1,209,104.5,29.857142857142858,-116,0,0,1,1
1145,0,0,0,0.0,0.0,-1013,-3,-1,1,1
972,1,1,221,221.0,73.66666666666667,-119,0,0,1,1
1091,2,3,1206,603.0,201.0,-1310,-3,-1,1,1
1091,2,4,1325,662.5,147.22222222222223,272,1,-1,1,1
903,1,1,217,217.0,72.33333333333333,7,0,0,1,1
1090,1,2,1078,539.0,179.66666666666666,149,1,0,1,1
1091,1,1,201,67.0,25.125,-677,0,0,1,1
1073,1,2,1112,370.6666666666667,139.0,650,1,0,1,1
970,1,2,735,245.0,66.81818181818181,512,1,0,1,1
965,2,2,1440,720.0,288.0,-942,-2,-1,1,1
585,0,0,0,0.0,0.0,0,0,0,1,1
630,0,0,0,0.0,0.0,-1131,-2,-1,1,1
1144,0,0,0,0.0,0.0,0,0,0,1,1
630,2,5,2082,694.0,208.2,1877,4,1,1,1
585,2,3,877,292.3333333333333,125.28571428571428,-445,0,0,1,1
1129,1,1,206,68.66666666666667,20.6,-2,0,0,1,1
1151,1,1,218,218.0,72.66666666666667,5,0,0,1,1
597,1,1,213,213.0,71.0,213,1,1,1,1
641,2,2,681,227.0,97.28571428571428,-1609,-2,0,1,1
598,0,0,0,0.0,0.0,-319,-1,-1,1,1
1073,5,6,2756,2756.0,689.0,-5700,-6,-1,1,1
965,0,0,0,0.0,0.0,-877,-3,-1,1,1
598,2,2,1839,1839.0,459.75,1280,0,0,1,1
1151,0,0,0,0.0,0.0,-251,-1,-1,1,1
1090,1,1,360,360.0,180.0,28,0,0,1,1
1011,0,0,0,0.0,0.0,0,0,0,1,1
904,1,1,782,782.0,391.0,582,0,0,1,1
585,2,3,693,693.0,173.25,461,2,1,1,1
970,0,0,0,0.0,0.0,0,0,0,1,1
630,0,0,0,0.0,0.0,-525,-1,-1,1,1
1071,0,0,0,0.0,0.0,0,0,0,1,1
1151,0,0,0,0.0,0.0,0,0,0,1,1
1074,1,2,1114,1114.0,557.0,1114,2,1,1,1
1072,2,2,619,619.0,154.75,402,1,1,1,1
970,1,2,440,146.66666666666666,48.888888888888886,-129,1,0,1,1
1074,1,1,204,204.0,51.0,-184,0,0,1,1
630,1,2,561,561.0,187.0,561,2,1,1,1
1071,0,0,0,0.0,0.0,-213,-1,-1,1,1
1145,1,1,222,222.0,37.0,7,0,0,1,1
590,0,0,0,0.0,0.0,-233,-1,-1,1,1
590,0,0,0,0.0,0.0,-851,-1,-1,1,1
1090,0,0,0,0.0,0.0,-202,-1,-1,1,1
965,0,0,0,0.0,0.0,0,0,0,1,1
904,1,1,227,227.0,45.4,9,0,0,1,1
1072,1,2,1238,1238.0,309.5,28,0,0,1,1
